# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
ってんだ	12	3	って|ん|だ	って|ん|だ:9 ってん|だ:2 ってんだ:1	train=12
よっ	12	3	よっ	よっ:9 よ|っ:3	train=12
を表した	12	3	を|表した	を|表した:9 を表した:2 を|表|した:1	train=11,val=1
別だ	12	3	別だ	別だ:9 別|だ:3	train=11,val=1
子供向け	12	3	子供|向け	子供|向け:9 子供向け:3	train=12
書き始めた	12	3	書き始めた	書き始めた:9 書き|始めた:3	train=11,val=1
最終バス	12	3	最終|バス	最終|バス:9 最終バス:3	train=12
流行遅れ	12	3	流行遅れ	流行遅れ:9 流行|遅れ:3	train=12
男らしく	12	3	男|らしく	男|らしく:9 男らしく:3	train=12
第19章	12	3	第|19|章	第|19|章:9 第19章:3	train=12
第52章	12	3	第52章	第52章:9 第|52|章:3	train=12
この記事	11	3	この|記事	この|記事:8 この記事:3	train=10,val=1
しだいに	11	3	しだいに	しだいに:8 しだい|に:3	train=11
そうかい	11	3	そう|かい	そう|かい:8 そうかい:2 そう|か|い:1	train=11
第17章	11	3	第|17|章	第|17|章:8 第17章:3	train=11
第89章	11	3	第|89|章	第|89|章:8 第89章:3	train=11
誕生日プレゼント	11	3	誕生日|プレゼント	誕生日|プレゼント:8 誕生日プレゼント:3	train=11
いやいや	10	3	いやいや	いやいや:7 いや|いや:3	train=10
したいなら	10	3	したいなら	したいなら:7 したい|なら:3	train=10
し続けて	10	3	し続けて	し続けて:7 し|続けて:3	train=10
どのぐらい	10	3	どの|ぐらい	どの|ぐらい:7 どのぐらい:3	train=10
のり	10	3	の|り	の|り:7 のり:3	train=10
ものとも	10	3	もの|と|も	もの|と|も:7 ものとも:3	test=1,train=9
やすやすと	10	3	やすやす|と	やすやす|と:7 やすやすと:3	train=10
一番列車	10	3	一番|列車	一番|列車:7 一番列車:3	train=10
丸一日	10	3	丸|一日	丸|一日:7 丸一日:3	train=10
害した	10	3	害した	害した:7 害|した:3	train=10
無くなった	10	3	無くなった	無くなった:7 無く|なった:3	train=10
王子様	10	3	王子様	王子様:7 王子|様:3	train=10
留守だった	10	3	留守|だった	留守|だった:7 留守だった:3	train=10
第22章	10	3	第22章	第22章:7 第|22|章:3	train=10
第51章	10	3	第51章	第51章:7 第|51|章:3	train=10
第70章	10	3	第|70|章	第|70|章:7 第70章:3	train=10
第78章	10	3	第|78|章	第|78|章:7 第78章:3	train=10
第91章	10	3	第91章	第91章:7 第|91|章:3	train=10
罰せられた	10	3	罰せられた	罰せられた:7 罰|せられた:3	train=10
話し始めた	10	3	話し始めた	話し始めた:7 話し|始めた:3	train=10
運動不足	10	3	運動|不足	運動|不足:7 運動不足:3	train=10
間中	10	3	間中	間中:7 間|中:3	train=10
いただけると	9	3	いただけると	いただけると:6 いただける|と:2 いただけ|る|と:1	train=9
くれている	9	3	くれて|いる	くれて|いる:6 くれている:3	train=9
はいはい	9	3	はい|はい	はい|はい:6 はいはい:3	train=9
シヴァ神	9	3	シヴァ神	シヴァ神:6 シヴァ|神:3	train=9
何マイル	9	3	何マイル	何マイル:6 何|マイル:3	train=9
全精力	9	3	全精力	全精力:6 全|精力:3	train=9
我が子	9	3	我が|子	我が|子:6 我が子:3	train=9
死に方	9	3	死に方	死に方:6 死に|方:3	train=9
盛んに	9	3	盛ん|に	盛ん|に:6 盛んに:3	train=9
立ち入り禁止	9	3	立ち入り|禁止	立ち入り|禁止:6 立ち入り禁止:3	train=9
笑い始めた	9	3	笑い始めた	笑い始めた:6 笑い|始めた:3	train=9
第11章	9	3	第11章	第11章:6 第|11|章:3	train=9
第98章	9	3	第98章	第98章:6 第|98|章:3	train=9
飢え死に	9	3	飢え死に	飢え死に:6 飢え死|に:3	train=9
がっかりだ	8	3	がっかり|だ	がっかり|だ:5 がっかりだ:3	train=8
こちら側	8	3	こちら|側	こちら|側:5 こちら側:3	test=1,train=7
ごめんだ	8	3	ごめんだ	ごめんだ:5 ごめん|だ:2 ごめ|ん|だ:1	test=1,train=7
してんだ	8	3	してんだ	してんだ:5 して|ん|だ:3	train=8
し合う	8	3	し合う	し合う:5 し|合う:3	train=8
なくなりました	8	3	なくなりました	なくなりました:5 なく|なりました:3	train=8
ならなくなった	8	3	ならなくなった	ならなくなった:5 ならなく|なった:3	train=8
ひっきりなし	8	3	ひっきり|なし	ひっきり|なし:5 ひっきりなし:3	train=8
よッ	8	3	よ|ッ	よ|ッ:5 よッ:3	train=8
オレンジ色	8	3	オレンジ|色	オレンジ|色:5 オレンジ色:3	train=8
十年前	8	3	十年|前	十年|前:5 十|年|前:2 十年前:1	train=8
女子生徒	8	3	女子生徒	女子生徒:5 女子|生徒:3	train=8
少年時代	8	3	少年|時代	少年|時代:5 少年時代:3	train=8
弁論大会	8	3	弁論|大会	弁論|大会:5 弁論大会:3	train=8
独身です	8	3	独身|です	独身|です:5 独身です:3	train=8
登場人物	8	3	登場|人物	登場|人物:5 登場人物:3	train=8
第23章	8	3	第23章	第23章:5 第|23|章:3	train=8
第79章	8	3	第|79|章	第|79|章:5 第79章:3	train=8
行く手	8	3	行く|手	行く|手:5 行く手:3	train=8
運良く	8	3	運|良く	運|良く:5 運良く:3	train=8
いくつもり	7	3	いくつもり	いくつもり:4 いく|つもり:3	train=7
いっぱいで	7	3	いっぱい|で	いっぱい|で:4 いっぱいで:3	train=7
お亡くなり	7	3	お|亡くなり	お|亡くなり:4 お亡くなり:3	train=7
けがした	7	3	けが|した	けが|した:4 けがした:3	train=7
し合って	7	3	し合って	し合って:4 し|合って:3	train=7
つくな	7	3	つく|な	つく|な:4 つくな:3	train=7
ですら	7	3	で|すら	で|すら:4 ですら:2 です|ら:1	train=7
は合わない	7	3	は|合わない	は|合わない:4 は合わない:3	train=7
まったくない	7	3	まったく|ない	まったく|ない:4 まったくない:3	train=7
わが社	7	3	わが|社	わが|社:4 わが社:3	train=7
サッカーボール	7	3	サッカー|ボール	サッカー|ボール:4 サッカーボール:3	train=7
ヨーロッパ旅行	7	3	ヨーロッパ|旅行	ヨーロッパ|旅行:4 ヨーロッパ旅行:3	train=7
一緒です	7	3	一緒です	一緒です:4 一緒|です:3	train=7
不正行為	7	3	不正|行為	不正|行為:4 不正行為:3	train=7
事故現場	7	3	事故|現場	事故|現場:4 事故現場:3	train=7
二年前	7	3	二年前	二年前:4 二年|前:3	train=7
外国旅行	7	3	外国|旅行	外国|旅行:4 外国旅行:3	train=7
持ちつ	7	3	持ちつ	持ちつ:4 持ち|つ:3	train=7
数年間	7	3	数年間	数年間:4 数年|間:3	train=7
最終決定	7	3	最終決定	最終決定:4 最終|決定:3	train=7
有罪だ	7	3	有罪|だ	有罪|だ:4 有罪だ:3	train=7
泣いてた	7	3	泣いてた	泣いてた:4 泣いて|た:3	train=7
満開だ	7	3	満開|だ	満開|だ:4 満開だ:3	train=7
相互理解	7	3	相互|理解	相互|理解:4 相互理解:3	train=7
第83章	7	3	第|83|章	第|83|章:4 第83章:3	train=7
お気の毒に	6	3	お気|の|毒|に	お気|の|毒|に:3 お気の毒に:2 お|気|の|毒|に:1	train=6
お許しください	6	3	お許し|ください	お許し|ください:3 お許しください:2 お|許しください:1	test=1,train=4,val=1
ご苦労さま	6	3	ご苦労さま	ご苦労さま:3 ご苦労|さま:3	train=6
じゃね	6	3	じゃね	じゃね:3 じゃ|ね:3	train=6
とやら	6	3	とやら	とやら:3 と|やら:3	train=6
やせている	6	3	やせている	やせている:3 やせて|いる:3	train=6
らしくない	6	3	らしくない	らしくない:3 らしく|ない:3	train=6
タイ料理	6	3	タイ料理	タイ料理:3 タイ|料理:3	train=6
バカだった	6	3	バカ|だった	バカ|だった:3 バカだった:3	train=6
一人っきり	6	3	一人っきり	一人っきり:3 一人|っきり:3	train=6
何ごと	6	3	何|ごと	何|ごと:3 何ごと:3	train=6
出だ	6	3	出|だ	出|だ:3 出だ:3	train=6
制限速度	6	3	制限|速度	制限|速度:3 制限速度:3	train=6
動かなくなった	6	3	動かなくなった	動かなくなった:3 動かなく|なった:3	train=6
四奥様	6	3	四|奥様	四|奥様:3 四奥様:2 四奥|様:1	train=6
屋根裏部屋	6	3	屋根裏部屋	屋根裏部屋:3 屋根裏|部屋:3	train=6
我慢強い	6	3	我慢|強い	我慢|強い:3 我慢強い:3	train=5,val=1
旅して	6	3	旅して	旅して:3 旅|して:3	train=6
母なる	6	3	母なる	母なる:3 母|なる:3	train=6
火災保険	6	3	火災|保険	火災|保険:3 火災保険:3	train=6
目覚まし時計	6	3	目覚まし|時計	目覚まし|時計:3 目覚まし時計:3	train=6
直行便	6	3	直行|便	直行|便:3 直行便:3	test=1,train=5
誠に	6	3	誠|に	誠|に:3 誠に:3	train=6
運転手さん	6	3	運転手さん	運転手さん:3 運転手|さん:3	train=6
お疲れさま	5	3	お疲れ|さま	お疲れ|さま:2 お疲れさま:2 お|疲れ|さま:1	train=5
世間知らずだ	5	3	世間知らずだ	世間知らずだ:2 世間知らず|だ:2 世間|知らずだ:1	train=5
借りして	5	3	借り|し|て	借り|し|て:2 借りして:2 借り|して:1	train=5
観光案内所	5	3	観光|案内|所	観光|案内|所:2 観光|案内所:2 観光案内所:1	train=5
がある	2883	2	が|ある	が|ある:2881 がある:2	test=22,train=2842,val=19
いない	1144	2	いない	いない:1142 い|ない:2	test=4,train=1132,val=8
という	1116	2	と|いう	と|いう:1114 という:2	test=4,train=1106,val=6
にして	1108	2	に|して	に|して:1106 にして:2	test=8,train=1093,val=7
があります	1008	2	が|あります	が|あります:1006 があります:2	test=6,train=997,val=5
好きだ	676	2	好きだ	好きだ:674 好き|だ:2	test=2,train=674
僕は	641	2	僕|は	僕|は:639 僕は:2	test=5,train=633,val=3
とした	508	2	と|した	と|した:506 とした:2	test=6,train=499,val=3
と思って	423	2	と|思って	と|思って:421 と思って:2	test=2,train=419,val=2
どうした	386	2	どう|した	どう|した:384 どうした:2	test=5,train=378,val=3
方源	232	2	方源	方源:230 方|源:2	test=3,train=228,val=1
なぁ	216	2	なぁ	なぁ:214 な|ぁ:2	test=5,train=210,val=1
静かに	212	2	静か|に	静か|に:210 静かに:2	train=212
に来る	209	2	に|来る	に|来る:207 に来る:2	test=2,train=205,val=2
持っています	203	2	持って|います	持って|います:201 持っています:2	train=203
に入った	197	2	に|入った	に|入った:195 に入った:2	test=2,train=194,val=1
に着いた	195	2	に|着いた	に|着いた:193 に着いた:2	test=2,train=192,val=1
お茶	190	2	お茶	お茶:188 お|茶:2	test=1,train=189
するか	190	2	する|か	する|か:188 するか:2	test=2,train=187,val=1
親切に	175	2	親切|に	親切|に:173 親切に:2	test=4,train=171
必要です	152	2	必要です	必要です:150 必要|です:2	train=150,val=2
成功した	145	2	成功|した	成功|した:143 成功した:2	train=145
ありがとうございます	142	2	ありがとう|ございます	ありがとう|ございます:140 ありがとうございます:2	test=1,train=140,val=1
言ってる	139	2	言ってる	言ってる:137 言って|る:2	test=3,train=136
までも	137	2	まで|も	まで|も:135 までも:2	train=137
するな	136	2	する|な	する|な:134 するな:2	test=1,train=135
やり方	125	2	やり方	やり方:123 やり|方:2	test=1,train=123,val=1
見に	125	2	見|に	見|に:123 見に:2	test=1,train=124
もって	121	2	もって	もって:119 も|って:2	train=121
しかない	104	2	しか|ない	しか|ない:102 しかない:2	train=103,val=1
やってきた	97	2	やって|きた	やって|きた:95 やってきた:2	train=96,val=1
悪いの	97	2	悪い|の	悪い|の:95 悪いの:2	test=1,train=96
あまりに	96	2	あまり|に	あまり|に:94 あまりに:2	train=96
に着く	86	2	に|着く	に|着く:84 に着く:2	test=1,train=85
お酒	76	2	お酒	お酒:74 お|酒:2	train=76
についた	75	2	に|ついた	に|ついた:73 についた:2	test=1,train=74
ついている	70	2	ついて|いる	ついて|いる:68 ついている:2	test=1,train=68,val=1
やっている	67	2	やって|いる	やって|いる:65 やっている:2	train=67
であり	66	2	で|あり	で|あり:64 であり:2	train=66
楽に	65	2	楽|に	楽|に:63 楽に:2	train=64,val=1
しも	64	2	しも	しも:62 し|も:2	train=64
っていう	64	2	って|いう	って|いう:62 っていう:2	train=63,val=1
わざと	62	2	わざと	わざと:60 わざ|と:2	test=1,train=59,val=2
を持ってる	62	2	を|持ってる	を|持ってる:60 を持ってる:2	test=1,train=61
立てる	62	2	立てる	立てる:60 立て|る:2	test=1,train=61
できました	61	2	できました	できました:59 で|きました:2	test=2,train=58,val=1
にない	60	2	に|ない	に|ない:58 にない:2	test=1,train=58,val=1
だわ	59	2	だ|わ	だ|わ:57 だわ:2	train=59
見ること	59	2	見る|こと	見る|こと:57 見ること:2	test=1,train=57,val=1
金曜日	59	2	金曜日	金曜日:57 金曜|日:2	train=59
今に	58	2	今|に	今|に:56 今に:2	train=58
を着た	55	2	を|着た	を|着た:53 を着た:2	train=55
午前中	54	2	午前中	午前中:52 午前|中:2	test=2,train=52
しかも	52	2	しかも	しかも:50 しか|も:2	train=52
やること	52	2	やる|こと	やる|こと:50 やること:2	train=50,val=2
必要で	52	2	必要で	必要で:50 必要|で:2	train=52
思い出した	52	2	思い出した	思い出した:50 思い|出した:2	train=52
そうか	51	2	そう|か	そう|か:49 そうか:2	test=1,train=50
駄目だ	51	2	駄目だ	駄目だ:49 駄目|だ:2	train=51
そうした	49	2	そう|した	そう|した:47 そうした:2	train=49
慎重に	49	2	慎重|に	慎重|に:47 慎重に:2	train=49
をもたらした	45	2	を|もたらした	を|もたらした:43 をもたらした:2	train=45
ならば	44	2	ならば	ならば:42 なら|ば:2	train=43,val=1
そのため	43	2	その|ため	その|ため:41 そのため:2	train=43
正確に	43	2	正確|に	正確|に:41 正確に:2	train=42,val=1
クソ野郎	42	2	クソ|野郎	クソ|野郎:40 クソ野郎:2	train=42
我が家	42	2	我が家	我が家:40 我が|家:2	train=42
お待ち	41	2	お待ち	お待ち:39 お|待ち:2	train=41
目の前	41	2	目|の|前	目|の|前:39 目の前:2	train=41
みなさん	40	2	みなさん	みなさん:38 みな|さん:2	train=40
懸命に	40	2	懸命|に	懸命|に:38 懸命に:2	test=1,train=39
がつかない	39	2	が|つかない	が|つかない:37 がつかない:2	test=1,train=37,val=1
行くよう	39	2	行く|よう	行く|よう:37 行くよう:2	train=39
話してる	39	2	話してる	話してる:37 話|してる:2	train=39
うちは	37	2	うち|は	うち|は:35 うちは:2	train=36,val=1
もしかして	37	2	もしかして	もしかして:35 もしか|して:1 も|しかして:1	train=37
蠱仙	36	2	蠱仙	蠱仙:34 蠱|仙:2	train=36
あるよう	35	2	ある|よう	ある|よう:33 あるよう:2	train=34,val=1
した後	35	2	した|後	した|後:33 し|た|後:1 した後:1	train=35
わずかな	35	2	わずか|な	わずか|な:33 わずかな:2	train=35
何枚	35	2	何枚	何枚:33 何|枚:2	train=35
引き起こした	35	2	引き起こした	引き起こした:33 引き|起こした:2	test=1,train=34
うわ～	33	2	うわ|～	うわ|～:31 うわ～:2	train=33
お待ちください	33	2	お待ちください	お待ちください:31 お|待ちください:2	train=33
すんだ	33	2	すんだ	すんだ:31 す|ん|だ:2	train=33
そっと	32	2	そっと	そっと:30 そっ|と:2	train=31,val=1
怖いの	32	2	怖い|の	怖い|の:30 怖いの:2	train=31,val=1
？！	32	2	？|！	？|！:30 ？！:2	train=32
はっきりと	31	2	はっきり|と	はっきり|と:29 はっきりと:2	test=2,train=29
はなりません	30	2	は|なりません	は|なりません:28 はなりません:2	train=30
大嫌いだ	30	2	大嫌いだ	大嫌いだ:28 大|嫌いだ:2	test=2,train=28
幸福で	30	2	幸福で	幸福で:28 幸福|で:2	train=30
ご一緒	29	2	ご一緒	ご一緒:27 ご|一緒:2	train=29
そうだろ	29	2	そう|だろ	そう|だろ:27 そうだろ:2	train=29
見てた	29	2	見てた	見てた:27 見て|た:2	train=28,val=1
しきりに	28	2	しきり|に	しきり|に:26 しきりに:2	train=28
傷つける	28	2	傷つける	傷つける:26 傷|つける:2	train=27,val=1
魔法使い	28	2	魔法使い	魔法使い:26 魔法|使い:2	train=28
あの日	27	2	あの|日	あの|日:25 あの日:2	test=1,train=26
はいて	27	2	はいて	はいて:25 は|いて:2	train=27
わが国	27	2	わが|国	わが|国:25 わが国:2	test=1,train=26
十年	27	2	十年	十年:25 十|年:2	train=27
平和に	27	2	平和|に	平和|に:25 平和に:2	train=26,val=1
約65人	27	2	約|65人	約|65人:25 約65人:2	train=27
しなくちゃ	26	2	しなくちゃ	しなくちゃ:24 しなく|ちゃ:2	train=25,val=1
どなたか	26	2	どなた|か	どなた|か:24 どなたか:2	train=26
必要なら	26	2	必要なら	必要なら:24 必要|なら:2	train=26
率直に	26	2	率直|に	率直|に:24 率直に:2	train=26
表して	26	2	表して	表して:24 表|して:2	train=26
間もなく	26	2	間もなく	間もなく:24 間|も|なく:2	train=26
ちらりと	25	2	ちらり|と	ちらり|と:23 ちらりと:2	train=25
ほっと	25	2	ほっと	ほっと:23 ほっ|と:2	test=1,train=23,val=1
先ほど	25	2	先ほど	先ほど:23 先|ほど:2	train=25
冷静に	25	2	冷静|に	冷静|に:23 冷静に:2	test=1,train=24
最新の	25	2	最新|の	最新|の:23 最新の:2	train=25
しすぎる	23	2	しすぎる	しすぎる:21 し|すぎる:2	train=23
年上です	23	2	年上|です	年上|です:21 年上です:2	train=23
悪くなった	23	2	悪く|なった	悪く|なった:21 悪くなった:2	train=23
押し入った	23	2	押し入った	押し入った:21 押し|入った:2	train=21,val=2
要するに	23	2	要する|に	要する|に:21 要するに:2	train=23
買ってきた	23	2	買って|きた	買って|きた:21 買ってきた:2	train=23
えッ	22	2	えッ	えッ:20 え|ッ:2	train=22
がた	22	2	がた	がた:20 が|た:2	train=22
どころか	22	2	どころ|か	どころ|か:20 どころか:2	train=22
大成功	22	2	大成功	大成功:20 大|成功:2	train=22
建てられた	22	2	建てられた	建てられた:20 建て|られた:2	train=22
流暢に	22	2	流暢|に	流暢|に:20 流暢に:2	train=21,val=1
独特の	22	2	独特|の	独特|の:20 独特の:2	train=21,val=1
鈴木博士	22	2	鈴木|博士	鈴木|博士:20 鈴木博士:2	train=22
高校時代	22	2	高校|時代	高校|時代:20 高校時代:2	train=22
をえない	21	2	を|えない	を|えない:19 をえない:2	train=21
木曜日	21	2	木曜日	木曜日:19 木曜|日:2	train=21
独自の	21	2	独自|の	独自|の:19 独自の:2	train=21
約74人	21	2	約|74人	約|74人:19 約74人:2	train=21
つくと	20	2	つく|と	つく|と:18 つくと:2	train=20
であれ	20	2	で|あれ	で|あれ:18 であれ:2	train=20
一体全体	20	2	一体|全体	一体|全体:18 一体全体:2	train=20
一等賞	20	2	一等賞	一等賞:18 一等|賞:2	train=20
仙蛊	20	2	仙蛊	仙蛊:18 仙|蛊:2	train=20
何とかして	20	2	何とか|して	何とか|して:18 何とかして:2	train=20
夕食前	20	2	夕食|前	夕食|前:18 夕食前:2	train=20
夜通し	20	2	夜通し	夜通し:18 夜|通し:2	train=20
約90人	20	2	約|90人	約|90人:18 約90人:2	train=20
豊かな	20	2	豊か|な	豊か|な:18 豊かな:2	train=20
遠慮なく	20	2	遠慮|なく	遠慮|なく:18 遠慮なく:2	train=20
適して	20	2	適して	適して:18 適|して:2	train=20
お役	19	2	お役	お役:17 お|役:2	test=1,train=18
そうして	19	2	そう|して	そう|して:17 そうして:2	train=19
クラシック音楽	19	2	クラシック|音楽	クラシック|音楽:17 クラシック音楽:2	train=18,val=1
二年	19	2	二年	二年:17 二|年:2	train=18,val=1
心配で	19	2	心配で	心配で:17 心配|で:2	test=1,train=18
約94人	19	2	約|94人	約|94人:17 約94人:2	train=19
なくなる	18	2	なくなる	なくなる:16 なく|なる:2	train=18
ヤツら	18	2	ヤツら	ヤツら:16 ヤツ|ら:2	train=17,val=1
不注意だった	18	2	不注意だった	不注意だった:16 不注意|だった:2	train=18
伊藤博士	18	2	伊藤|博士	伊藤|博士:16 伊藤博士:2	train=18
田中博士	18	2	田中|博士	田中|博士:16 田中博士:2	train=18
裏切り者	18	2	裏切り者	裏切り者:16 裏切り|者:2	test=1,train=17
追いかけて	18	2	追いかけて	追いかけて:16 追い|かけて:2	train=18
適当に	18	2	適当|に	適当|に:16 適当に:2	train=18
順調に	18	2	順調|に	順調|に:16 順調に:2	train=18
いわれて	17	2	いわれて	いわれて:15 いわ|れて:2	train=17
お年	17	2	お年	お年:15 お|年:2	train=17
ご注意	17	2	ご注意	ご注意:15 ご|注意:2	train=17
一人旅	17	2	一人旅	一人旅:15 一人|旅:2	train=17
愛し合って	17	2	愛し合って	愛し合って:15 愛|し|合って:2	train=17
特別に	17	2	特別|に	特別|に:15 特別に:2	train=17
立派に	17	2	立派|に	立派|に:15 立派に:2	train=17
約61人	17	2	約|61人	約|61人:15 約61人:2	train=17
約97人	17	2	約|97人	約|97人:15 約97人:2	train=17
お支払い	16	2	お支払い	お支払い:14 お|支払い:2	train=16
お迎え	16	2	お迎え	お迎え:14 お|迎え:2	train=16
この先	16	2	この|先	この|先:14 この先:2	train=16
反して	16	2	反して	反して:14 反|して:2	train=15,val=1
宗ちゃん	16	2	宗|ちゃん	宗|ちゃん:14 宗ちゃん:2	train=16
山田博士	16	2	山田|博士	山田|博士:14 山田博士:2	train=16
第55章	16	2	第55章	第55章:14 第|55|章:2	train=16
間に合わない	16	2	間に合わない	間に合わない:14 間|に合わない:1 間に|合わない:1	train=16
お部屋	15	2	お部屋	お部屋:13 お|部屋:2	train=15
かなって	15	2	かなって	かなって:13 か|な|って:2	train=15
ご記入	15	2	ご記入	ご記入:13 ご|記入:2	train=15
したらしい	15	2	したらしい	したらしい:13 した|らしい:2	train=15
はさみ	15	2	はさみ	はさみ:13 は|さみ:2	train=15
投げつけた	15	2	投げつけた	投げつけた:13 投げ|つけた:2	train=15
暖かくなって	15	2	暖かく|なって	暖かく|なって:13 暖かくなって:2	train=15
私自身	15	2	私|自身	私|自身:13 私自身:2	train=15
飛行機事故	15	2	飛行機|事故	飛行機|事故:13 飛行機事故:2	train=14,val=1
お取り下さい	14	2	お取り下さい	お取り下さい:12 お|取り下さい:2	train=14
お疲れ	14	2	お疲れ	お疲れ:12 お|疲れ:2	train=14
お静か	14	2	お静か	お静か:12 お|静か:2	train=14
させることが	14	2	させる|こと|が	させる|こと|が:12 させることが:2	train=14
すん	14	2	すん	すん:12 す|ん:2	train=14
だし	14	2	だ|し	だ|し:12 だし:2	train=14
もしかしたら	14	2	もしか|したら	もしか|したら:12 もしかしたら:2	train=14
マスケット銃	14	2	マスケット|銃	マスケット|銃:12 マスケット銃:2	train=14
健康状態	14	2	健康状態	健康状態:12 健康|状態:2	train=14
偶然だった	14	2	偶然|だった	偶然|だった:12 偶然だった:2	train=14
影宗	14	2	影宗	影宗:12 影|宗:2	train=14
得意で	14	2	得意で	得意で:12 得意|で:2	train=14
愛される	14	2	愛される	愛される:12 愛|される:2	train=14
成り立って	14	2	成り立って	成り立って:12 成り|立って:2	train=14
木の実	14	2	木|の|実	木|の|実:12 木の実:2	train=14
生活様式	14	2	生活様式	生活様式:12 生活|様式:2	train=14
第29章	14	2	第29章	第29章:12 第|29|章:2	train=14
約63人	14	2	約|63人	約|63人:12 約63人:2	train=14
約73人	14	2	約|73人	約|73人:12 約73人:2	train=14
紫薇仙子	14	2	紫薇|仙子	紫薇|仙子:12 紫薇仙子:2	train=13,val=1
蠱虫	14	2	蠱虫	蠱虫:12 蠱|虫:2	train=14
言い張った	14	2	言い張った	言い張った:12 言い|張った:2	train=14
お越しください	13	2	お越しください	お越しください:11 お越し|ください:2	train=13
ご存じです	13	2	ご存じ|です	ご存じ|です:11 ご存じです:2	train=13
ただちに	13	2	ただちに	ただちに:11 ただち|に:2	train=13
ぱっと	13	2	ぱっと	ぱっと:11 ぱっ|と:2	train=13
をつかまえた	13	2	を|つかまえた	を|つかまえた:11 をつかまえた:2	train=13
右足	13	2	右足	右足:11 右|足:2	train=13
心配ない	13	2	心配|ない	心配|ない:11 心配ない:2	train=13
旦那さん	13	2	旦那さん	旦那さん:11 旦那|さん:2	train=13
暗くなった	13	2	暗く|なった	暗く|なった:11 暗くなった:2	train=13
気持ちいい	13	2	気持ち|いい	気持ち|いい:11 気持ちいい:2	train=13
申し訳ない	13	2	申し訳ない	申し訳ない:11 申し訳|ない:2	train=13
第28章	13	2	第28章	第28章:11 第|28|章:2	train=13
第86章	13	2	第86章	第86章:11 第|86|章:2	train=13
見事に	13	2	見事|に	見事|に:11 見事に:2	train=13
資金不足	13	2	資金|不足	資金|不足:11 資金不足:2	train=13
走り去った	13	2	走り去った	走り去った:11 走り|去った:2	train=13
ありの	12	2	あり|の	あり|の:10 ありの:2	train=12
ぎょっと	12	2	ぎょっと	ぎょっと:10 ぎょっ|と:2	train=11,val=1
ご覧ください	12	2	ご覧|ください	ご覧|ください:10 ご覧ください:1 ご|覧|ください:1	test=1,train=11
ってん	12	2	って|ん	って|ん:10 ってん:2	train=12
ついてない	12	2	ついてない	ついてない:10 ついて|ない:2	train=12
テレビゲーム	12	2	テレビゲーム	テレビゲーム:10 テレビ|ゲーム:2	train=10,val=2
ベルベル語	12	2	ベルベル語	ベルベル語:10 ベルベル|語:2	train=12
三年間	12	2	三年間	三年間:10 三|年間:1 三年|間:1	train=12
八転	12	2	八転	八転:10 八|転:2	train=12
土砂降り	12	2	土砂降り	土砂降り:10 土砂|降り:2	train=12
心臓発作	12	2	心臓発作	心臓発作:10 心臓|発作:2	train=12
患者さん	12	2	患者さん	患者さん:10 患者|さん:2	train=12
持ち上げた	12	2	持ち上げた	持ち上げた:10 持ち|上げた:2	train=12
知りたがって	12	2	知りたがって	知りたがって:10 知り|たがって:2	train=12
裸で	12	2	裸|で	裸|で:10 裸で:2	train=12
語って	12	2	語って	語って:10 語|って:2	train=12
豊富に	12	2	豊富|に	豊富|に:10 豊富に:2	train=12
開いてます	12	2	開いてます	開いてます:10 開いて|ます:2	train=12
頻繁に	12	2	頻繁|に	頻繁|に:10 頻繁に:2	train=12
食べてた	12	2	食べてた	食べてた:10 食べて|た:2	train=12
あら捜し	11	2	あら|捜し	あら|捜し:9 あら捜し:2	test=1,train=10
あり得ない	11	2	あり得ない	あり得ない:9 あり|得ない:2	train=11
いるなら	11	2	いるなら	いるなら:9 いる|なら:2	train=11
お待たせ	11	2	お待たせ	お待たせ:9 お|待たせ:1 お|待た|せ:1	train=11
かんで	11	2	かんで	かんで:9 かん|で:2	train=11
はら	11	2	はら	はら:9 は|ら:2	train=11
ヘブライ語	11	2	ヘブライ語	ヘブライ語:9 ヘブライ|語:2	train=11
一杯だった	11	2	一杯|だった	一杯|だった:9 一杯だった:2	train=11
哺乳動物	11	2	哺乳動物	哺乳動物:9 哺乳|動物:2	train=11
夜明け前	11	2	夜明け|前	夜明け|前:9 夜明け前:2	train=11
引き裂いた	11	2	引き裂いた	引き裂いた:9 引き|裂いた:2	train=11
気分転換	11	2	気分転換	気分転換:9 気分|転換:2	train=11
第92章	11	2	第92章	第92章:9 第|92|章:2	train=11
第95章	11	2	第95章	第95章:9 第|95|章:2	train=11
精神的に	11	2	精神的|に	精神的|に:9 精神的に:2	train=11
あらあら	10	2	あらあら	あらあら:8 あら|あら:2	train=10
くれぐれも	10	2	くれぐれ|も	くれぐれ|も:8 くれぐれも:2	train=9,val=1
をしかった	10	2	を|しかった	を|しかった:8 をしかった:2	train=9,val=1
ハーバード大学	10	2	ハーバード大学	ハーバード大学:8 ハーバード|大学:2	train=10
メールアドレス	10	2	メールアドレス	メールアドレス:8 メール|アドレス:2	train=10
地の	10	2	地|の	地|の:8 地の:2	train=10
大切さ	10	2	大切さ	大切さ:8 大切|さ:2	train=10
始発電車	10	2	始発電車	始発電車:8 始発|電車:2	train=10
屈した	10	2	屈した	屈した:8 屈|した:2	train=10
