# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
久以前	3	1	久|以前	久|以前:2 久以前:1	train=3
买票	3	1	买|票	买|票:2 买票:1	train=3
乱讲	3	1	乱|讲	乱|讲:2 乱讲:1	train=3
交通事故	3	1	交通事故	交通事故:2 交通|事故:1	train=3
人像	3	1	人像	人像:2 人|像:1	train=3
介不介意	3	1	介|不|介意	介|不|介意:2 介不介意:1	train=3
付诸东流	3	1	付诸东流	付诸东流:2 付诸|东流:1	train=3
会友	3	1	会友	会友:2 会|友:1	train=3
伴随着	3	1	伴随着	伴随着:2 伴随|着:1	train=3
你老	3	1	你|老	你|老:2 你老:1	train=3
值夜勤	3	1	值夜勤	值夜勤:2 值|夜勤:1	train=3
倾卸车	3	1	倾卸|车	倾卸|车:2 倾卸车:1	train=3
做成	3	1	做成	做成:2 做|成:1	train=3
做手术	3	1	做|手术	做|手术:2 做手术:1	train=3
光凭	3	1	光凭	光凭:2 光|凭:1	train=3
八千万	3	1	八千万	八千万:2 八|千万:1	train=3
共产主义者	3	1	共产主义者	共产主义者:2 共产主义|者:1	train=3
冒出来	3	1	冒|出来	冒|出来:2 冒出来:1	train=3
写完	3	1	写完	写完:2 写|完:1	train=3
军事法庭	3	1	军事法庭	军事法庭:2 军事|法庭:1	train=3
冲向	3	1	冲向	冲向:2 冲|向:1	train=3
冲进来	3	1	冲|进来	冲|进来:2 冲进来:1	train=3
几何图样	3	1	几何|图样	几何|图样:2 几何图样:1	train=3
凯文老师	3	1	凯文老师	凯文老师:2 凯文|老师:1	train=3
分到	3	1	分到	分到:2 分|到:1	train=3
动手术	3	1	动|手术	动|手术:2 动手术:1	train=3
动脑子	3	1	动脑子	动脑子:2 动|脑子:1	train=3
只眼	3	1	只|眼	只|眼:2 只眼:1	train=3
只见	3	1	只见	只见:2 只|见:1	train=3
只需	3	1	只|需	只|需:2 只需:1	train=3
叫来	3	1	叫|来	叫|来:2 叫来:1	train=3
叫着	3	1	叫|着	叫|着:2 叫着:1	train=3
可怜虫	3	1	可怜虫	可怜虫:2 可怜|虫:1	train=3
可用	3	1	可用	可用:2 可|用:1	train=3
史特劳斯先生	3	1	史特劳斯先生	史特劳斯先生:2 史特劳斯|先生:1	train=3
叹了口气	3	1	叹|了|口气	叹|了|口气:2 叹了口气:1	train=3
吃人	3	1	吃|人	吃|人:2 吃人:1	train=3
吃醋	3	1	吃醋	吃醋:2 吃|醋:1	train=3
周一	3	1	周|一	周|一:2 周一:1	train=3
周四	3	1	周四	周四:2 周|四:1	train=3
哪年	3	1	哪|年	哪|年:2 哪年:1	train=3
哪时候	3	1	哪|时候	哪|时候:2 哪时候:1	train=3
哪能	3	1	哪|能	哪|能:2 哪能:1	train=3
唔似	3	1	唔|似	唔|似:2 唔似:1	train=3
四年	3	1	四年	四年:2 四|年:1	train=3
四点	3	1	四点	四点:2 四|点:1	train=3
回电话	3	1	回|电话	回|电话:2 回电话:1	test=1,train=2
团糟	3	1	团|糟	团|糟:2 团糟:1	train=3
在线上	3	1	在|线上	在|线上:2 在线上:1	train=2,val=1
坐船	3	1	坐船	坐船:2 坐|船:1	train=3
墩牛排骨	3	1	墩牛排骨	墩牛排骨:2 墩牛|排骨:1	train=3
外科医生	3	1	外科|医生	外科|医生:2 外科医生:1	train=3
多管闲事	3	1	多管闲事	多管闲事:2 多|管|闲事:1	train=3
大笑	3	1	大笑	大笑:2 大|笑:1	train=3
头牛	3	1	头|牛	头|牛:2 头牛:1	train=3
好坏	3	1	好坏	好坏:2 好|坏:1	train=3
好恶心	3	1	好恶心	好恶心:2 好|恶心:1	train=3
好运气	3	1	好运气	好运气:2 好|运气:1	train=3
好骗	3	1	好骗	好骗:2 好|骗:1	train=3
学着	3	1	学|着	学|着:2 学着:1	train=3
客人们	3	1	客人|们	客人|们:2 客人们:1	train=3
家中	3	1	家中	家中:2 家|中:1	train=3
家庭作业	3	1	家庭作业	家庭作业:2 家庭|作业:1	train=3
寄信	3	1	寄|信	寄|信:2 寄信:1	train=3
寄宿学校	3	1	寄宿学校	寄宿学校:2 寄宿|学校:1	train=3
察觉到	3	1	察觉|到	察觉|到:2 察觉到:1	train=3
射击阵地	3	1	射击|阵地	射击|阵地:2 射击阵地:1	train=3
小奥斯卡	3	1	小|奥斯卡	小|奥斯卡:2 小奥斯卡:1	train=3
小朋友们	3	1	小朋友们	小朋友们:2 小朋友|们:1	train=3
小气鬼	3	1	小气鬼	小气鬼:2 小气|鬼:1	train=3
就如	3	1	就|如	就|如:2 就如:1	train=3
山里	3	1	山里	山里:2 山|里:1	train=3
工人们	3	1	工人们	工人们:2 工人|们:1	train=3
常有	3	1	常|有	常|有:2 常有:1	train=3
弄清楚	3	1	弄|清楚	弄|清楚:2 弄清楚:1	train=3
往回	3	1	往|回	往|回:2 往回:1	train=3
往回走	3	1	往|回|走	往|回|走:2 往回走:1	train=3
待到	3	1	待|到	待|到:2 待到:1	train=3
得利	3	1	得|利	得|利:2 得利:1	train=3
德温特先生	3	1	德温特先生	德温特先生:2 德温特|先生:1	train=3
心爱的	3	1	心爱的	心爱的:2 心爱|的:1	train=3
我妹	3	1	我|妹	我|妹:2 我妹:1	train=3
所爱	3	1	所|爱	所|爱:2 所爱:1	train=3
才行	3	1	才|行	才|行:2 才行:1	train=3
扬叔叔	3	1	扬叔叔	扬叔叔:2 扬|叔叔:1	train=3
扯上	3	1	扯上	扯上:2 扯|上:1	train=3
把风	3	1	把风	把风:2 把|风:1	train=3
披上	3	1	披上	披上:2 披|上:1	train=3
拍完	3	1	拍|完	拍|完:2 拍完:1	train=3
拿上	3	1	拿上	拿上:2 拿|上:1	train=3
拿好	3	1	拿|好	拿|好:2 拿好:1	train=3
拿稳	3	1	拿稳	拿稳:2 拿|稳:1	train=3
挡路	3	1	挡路	挡路:2 挡|路:1	train=3
挣钱	3	1	挣钱	挣钱:2 挣|钱:1	train=3
捕鼠业者	3	1	捕鼠业者	捕鼠业者:2 捕鼠|业者:1	train=3
捡回来	3	1	捡|回来	捡|回来:2 捡回来:1	test=1,train=2
接上	3	1	接上	接上:2 接|上:1	test=1,train=2
揍扁	3	1	揍|扁	揍|扁:2 揍扁:1	train=3
搞不定	3	1	搞|不|定	搞|不|定:2 搞不定:1	train=2,val=1
撑不住	3	1	撑|不|住	撑|不|住:2 撑不住:1	train=2,val=1
放回	3	1	放回	放回:2 放|回:1	train=3
放马	3	1	放|马	放|马:2 放马:1	train=3
新车	3	1	新车	新车:2 新|车:1	train=3
早起	3	1	早起	早起:2 早|起:1	train=3
明行光	3	1	明行光	明行光:2 明|行光:1	train=3
星期几	3	1	星期几	星期几:2 星期|几:1	train=3
最多	3	1	最多	最多:2 最|多:1	train=3
有何不可	3	1	有何不可	有何不可:2 有|何|不可:1	train=3
有何贵干	3	1	有|何|贵干	有|何|贵干:2 有何贵干:1	train=3
本来的	3	1	本来|的	本来|的:2 本来的:1	train=3
枝枪	3	1	枝枪	枝枪:2 枝|枪:1	train=3
查某囝	3	1	查某囝	查某囝:2 查某|囝:1	train=3
栓上	3	1	栓|上	栓|上:2 栓上:1	train=3
歇会儿	3	1	歇|会儿	歇|会儿:2 歇会儿:1	train=3
正点	3	1	正点	正点:2 正|点:1	train=3
死狗	3	1	死狗	死狗:2 死|狗:1	train=3
毫无疑问	3	1	毫无疑问	毫无疑问:2 毫无|疑问:1	train=2,val=1
水中	3	1	水中	水中:2 水|中:1	train=3
池映民	3	1	池映民	池映民:2 池|映|民:1	train=3
没得	3	1	没得	没得:2 没|得:1	train=3
没电	3	1	没|电	没|电:2 没电:1	train=3
洛汗子弟	3	1	洛汗子弟	洛汗子弟:2 洛汗|子弟:1	train=3
洛荷帮	3	1	洛荷|帮	洛荷|帮:2 洛荷帮:1	train=3
派来	3	1	派来	派来:2 派|来:1	train=3
海中	3	1	海中	海中:2 海|中:1	train=3
滴水	3	1	滴|水	滴|水:2 滴水:1	train=3
漠不关心	3	1	漠不关心	漠不关心:2 漠不|关心:1	train=3
灭鼠	3	1	灭|鼠	灭|鼠:2 灭鼠:1	train=3
点了点头	3	1	点了点头	点了点头:2 点|了|点头:1	train=3
無所	3	1	無所	無所:2 無|所:1	test=1,train=2
照到	3	1	照|到	照|到:2 照到:1	test=1,train=2
爱娃	3	1	爱娃	爱娃:2 爱|娃:1	train=3
爱情故事	3	1	爱情故事	爱情故事:2 爱情|故事:1	train=3
班车	3	1	班|车	班|车:2 班车:1	train=3
生产调度员	3	1	生产|调度员	生产|调度员:2 生产调度员:1	train=3
用光	3	1	用光	用光:2 用|光:1	train=3
用完	3	1	用|完	用|完:2 用完:1	train=3
电脑游戏	3	1	电脑|游戏	电脑|游戏:2 电脑游戏:1	train=3
画完	3	1	画|完	画|完:2 画完:1	train=3
白衬衫	3	1	白衬衫	白衬衫:2 白|衬衫:1	train=3
的士	3	1	的士	的士:2 的|士:1	train=3
盖上	3	1	盖上	盖上:2 盖|上:1	train=3
看向	3	1	看|向	看|向:2 看向:1	train=3
瞎了眼	3	1	瞎|了|眼	瞎|了|眼:2 瞎了眼:1	train=3
碰死	3	1	碰死	碰死:2 碰|死:1	train=3
示人	3	1	示人	示人:2 示|人:1	train=3
空着	3	1	空|着	空|着:2 空着:1	train=3
站好	3	1	站|好	站|好:2 站好:1	train=3
第四	3	1	第四	第四:2 第|四:1	train=3
绕着	3	1	绕|着	绕|着:2 绕着:1	train=3
置身事外	3	1	置身事外	置身事外:2 置身|事外:1	train=3
老几	3	1	老几	老几:2 老|几:1	train=3
老地方	3	1	老地方	老地方:2 老|地方:1	train=3
老女人	3	1	老|女人	老|女人:2 老女人:1	train=3
老的	3	1	老|的	老|的:2 老的:1	train=3
聊聊天	3	1	聊聊天	聊聊天:2 聊|聊天:1	train=3
脚踏	3	1	脚踏	脚踏:2 脚|踏:1	train=3
脱衣舞	3	1	脱衣舞	脱衣舞:2 脱|衣舞:1	train=3
良心不安	3	1	良心|不安	良心|不安:2 良心不安:1	train=3
藏好	3	1	藏|好	藏|好:2 藏好:1	train=3
被困	3	1	被|困	被|困:2 被困:1	train=3
见清	3	1	见|清	见|清:2 见清:1	train=3
计算机语言	3	1	计算机|语言	计算机|语言:2 计算机语言:1	train=3
认出来	3	1	认出来	认出来:2 认|出来:1	train=3
讲完	3	1	讲完	讲完:2 讲|完:1	train=3
说教	3	1	说|教	说|教:2 说教:1	train=3
诺贝尔奖	3	1	诺贝尔奖	诺贝尔奖:2 诺贝尔|奖:1	train=3
读完	3	1	读完	读完:2 读|完:1	train=3
调皮	3	1	调皮	调皮:2 调|皮:1	train=3
走出来	3	1	走|出来	走|出来:2 走出来:1	train=3
走进	3	1	走|进	走|进:2 走进:1	train=3
赶来	3	1	赶来	赶来:2 赶|来:1	train=3
跑来跑去	3	1	跑来跑去	跑来跑去:2 跑|来|跑|去:1	train=3
跟紧	3	1	跟紧	跟紧:2 跟|紧:1	train=3
踢出去	3	1	踢|出去	踢|出去:2 踢出去:1	train=3
踩死	3	1	踩死	踩死:2 踩|死:1	train=3
车载	3	1	车|载	车|载:2 车载:1	train=3
输定	3	1	输|定	输|定:2 输定:1	train=3
辛哈先生	3	1	辛哈先生	辛哈先生:2 辛哈|先生:1	train=3
辣死	3	1	辣死	辣死:2 辣|死:1	train=3
这时	3	1	这时	这时:2 这|时:1	train=3
送人	3	1	送|人	送|人:2 送人:1	train=3
逛来逛去	3	1	逛来逛去	逛来逛去:2 逛|来|逛|去:1	train=3
阿催由	3	1	阿催由	阿催由:2 阿催|由:1	train=3
院房	3	1	院房	院房:2 院|房:1	train=3
隔着	3	1	隔|着	隔|着:2 隔着:1	train=3
难做	3	1	难|做	难|做:2 难做:1	train=3
难搞	3	1	难搞	难搞:2 难|搞:1	train=3
雕虫小技	3	1	雕虫小技	雕虫小技:2 雕虫|小技:1	train=3
静一静	3	1	静|一|静	静|一|静:2 静一静:1	train=3
风高	3	1	风高	风高:2 风|高:1	train=3
飞去	3	1	飞去	飞去:2 飞|去:1	train=3
马科弟兄	3	1	马科弟兄	马科弟兄:2 马科|弟兄:1	train=3
高非	3	1	高|非	高|非:2 高非:1	train=3
齐步走	3	1	齐步走	齐步走:2 齐步|走:1	train=3
一事	2	1	一|事	一|事:1 一事:1	train=2
一分钱	2	1	一分钱	一分钱:1 一|分钱:1	train=2
一发	2	1	一|发	一|发:1 一发:1	train=2
一族	2	1	一族	一族:1 一|族:1	train=2
一用	2	1	一|用	一|用:1 一用:1	train=2
一笑了之	2	1	一|笑|了之	一|笑|了之:1 一笑了之:1	train=2
一钱	2	1	一钱	一钱:1 一|钱:1	train=2
一面之词	2	1	一面|之|词	一面|之|词:1 一面之词:1	train=2
三号桌	2	1	三号桌	三号桌:1 三号|桌:1	train=2
三日	2	1	三|日	三|日:1 三日:1	train=2
三芬尼	2	1	三|芬尼	三|芬尼:1 三芬尼:1	train=2
上上大吉	2	1	上上|大吉	上上|大吉:1 上上大吉:1	train=2
下午炮	2	1	下午炮	下午炮:1 下午|炮:1	train=2
下回	2	1	下回	下回:1 下|回:1	train=2
不假	2	1	不|假	不|假:1 不假:1	train=2
不全	2	1	不全	不全:1 不|全:1	train=2
不在场	2	1	不在场	不在场:1 不|在场:1	train=2
不好使	2	1	不好使	不好使:1 不好|使:1	train=2
不常	2	1	不|常	不|常:1 不常:1	train=2
不復	2	1	不復	不復:1 不|復:1	train=2
不死心	2	1	不死心	不死心:1 不|死心:1	train=2
不浅	2	1	不浅	不浅:1 不|浅:1	train=2
不胜	2	1	不|胜	不|胜:1 不胜:1	train=2
不过去	2	1	不过去	不过去:1 不过|去:1	test=1,train=1
丑女婿	2	1	丑女婿	丑女婿:1 丑|女婿:1	train=2
世界局势	2	1	世界局势	世界局势:1 世界|局势:1	train=2
两讫	2	1	两讫	两讫:1 两|讫:1	train=2
个人风格	2	1	个人|风格	个人|风格:1 个人风格:1	train=2
个半	2	1	个半	个半:1 个|半:1	train=2
中华人民共和国	2	1	中华人民共和国	中华人民共和国:1 中华|人民|共和国:1	train=2
之行	2	1	之|行	之|行:1 之行:1	train=2
乔治国王	2	1	乔治国王	乔治国王:1 乔治|国王:1	train=2
乖儿子	2	1	乖儿子	乖儿子:1 乖|儿子:1	train=2
乱搞	2	1	乱搞	乱搞:1 乱|搞:1	train=2
乱看	2	1	乱看	乱看:1 乱|看:1	train=2
二线点	2	1	二线|点	二线|点:1 二线点:1	train=2
云阳机械厂	2	1	云阳|机械厂	云阳|机械厂:1 云阳机械厂:1	train=2
五毛钱	2	1	五|毛钱	五|毛钱:1 五毛钱:1	train=2
五点钟	2	1	五点钟	五点钟:1 五|点钟:1	train=2
交屋	2	1	交|屋	交|屋:1 交屋:1	train=2
亮灯	2	1	亮|灯	亮|灯:1 亮灯:1	test=1,train=1
亲戚们	2	1	亲戚们	亲戚们:1 亲戚|们:1	train=2
人头顶	2	1	人头顶	人头顶:1 人|头顶:1	train=2
人生还	2	1	人生|还	人生|还:1 人生还:1	train=2
人身上	2	1	人|身上	人|身上:1 人身上:1	train=2
仗着	2	1	仗着	仗着:1 仗|着:1	train=2
优待条件	2	1	优待条件	优待条件:1 优待|条件:1	train=2
会否	2	1	会|否	会|否:1 会否:1	train=2
会客	2	1	会|客	会|客:1 会客:1	train=2
伦敦大桥	2	1	伦敦大桥	伦敦大桥:1 伦敦|大桥:1	train=2
作梦	2	1	作|梦	作|梦:1 作梦:1	train=2
你丫	2	1	你|丫	你|丫:1 你丫:1	train=2
你爹	2	1	你|爹	你|爹:1 你爹:1	train=2
保护神	2	1	保护|神	保护|神:1 保护神:1	train=2
倒早	2	1	倒早	倒早:1 倒|早:1	train=2
借来	2	1	借|来	借|来:1 借来:1	train=2
假日快乐	2	1	假日快乐	假日快乐:1 假日|快乐:1	train=2
做戏	2	1	做戏	做戏:1 做|戏:1	train=2
做样子	2	1	做|样子	做|样子:1 做样子:1	train=2
先是	2	1	先是	先是:1 先|是:1	train=2
兜兜风	2	1	兜兜风	兜兜风:1 兜兜|风:1	train=2
兩家	2	1	兩家	兩家:1 兩|家:1	train=2
兩頭	2	1	兩頭	兩頭:1 兩|頭:1	train=2
公主阁下	2	1	公主阁下	公主阁下:1 公主|阁下:1	train=2
六岁	2	1	六|岁	六|岁:1 六岁:1	train=2
其类	2	1	其|类	其|类:1 其类:1	train=2
冇得	2	1	冇|得	冇|得:1 冇得:1	train=2
再的	2	1	再|的	再|的:1 再的:1	train=2
冰岛人	2	1	冰岛人	冰岛人:1 冰岛|人:1	train=2
冷死	2	1	冷死	冷死:1 冷|死:1	train=2
准备准备	2	1	准备准备	准备准备:1 准备|准备:1	train=2
凑和着	2	1	凑和着	凑和着:1 凑和|着:1	train=2
出生证明	2	1	出生证明	出生证明:1 出生|证明:1	train=2
创世计划	2	1	创世计划	创世计划:1 创世|计划:1	train=2
判若两人	2	1	判若|两人	判若|两人:1 判若两人:1	train=2
别客气	2	1	别|客气	别|客气:1 别客气:1	train=2
到是	2	1	到是	到是:1 到|是:1	train=2
前几晚	2	1	前几晚	前几晚:1 前|几|晚:1	train=2
勇敢无惧	2	1	勇敢无惧	勇敢无惧:1 勇敢|无惧:1	train=2
十三姨丈	2	1	十三姨丈	十三姨丈:1 十三|姨丈:1	train=2
十二骑	2	1	十二|骑	十二|骑:1 十二骑:1	train=2
十几万	2	1	十几|万	十几|万:1 十几万:1	train=1,val=1
十拿九稳	2	1	十拿九稳	十拿九稳:1 十|拿|九稳:1	train=2
卌九	2	1	卌|九	卌|九:1 卌九:1	train=2
南北	2	1	南|北	南|北:1 南北:1	train=2
印第安控	2	1	印第安控	印第安控:1 印第安|控:1	train=2
历史上	2	1	历史上	历史上:1 历史|上:1	train=2
去向	2	1	去向	去向:1 去|向:1	train=2
及其	2	1	及其	及其:1 及|其:1	train=2
双筒望远镜	2	1	双筒|望远镜	双筒|望远镜:1 双筒望远镜:1	test=1,train=1
发白	2	1	发|白	发|白:1 发白:1	train=2
变色蜥蜴	2	1	变色蜥蜴	变色蜥蜴:1 变色|蜥蜴:1	train=2
口中	2	1	口中	口中:1 口|中:1	train=2
另结新欢	2	1	另结新欢	另结新欢:1 另|结|新欢:1	train=2
只为	2	1	只|为	只|为:1 只为:1	train=2
只怕	2	1	只|怕	只|怕:1 只怕:1	train=2
只管	2	1	只管	只管:1 只|管:1	train=2
可偏得	2	1	可偏得	可偏得:1 可|偏得:1	train=2
台底下	2	1	台底下	台底下:1 台|底下:1	train=2
史高斯爸爸	2	1	史高斯爸爸	史高斯爸爸:1 史高斯|爸爸:1	train=2
右臂	2	1	右|臂	右|臂:1 右臂:1	train=2
合身	2	1	合|身	合|身:1 合身:1	train=2
同享	2	1	同|享	同|享:1 同享:1	train=2
同当	2	1	同|当	同|当:1 同当:1	train=2
吞掉	2	1	吞|掉	吞|掉:1 吞掉:1	train=2
听戏	2	1	听戏	听戏:1 听|戏:1	train=2
吹一吹	2	1	吹|一|吹	吹|一|吹:1 吹一吹:1	train=2
咋办	2	1	咋|办	咋|办:1 咋办:1	train=2
咖啡店	2	1	咖啡店	咖啡店:1 咖啡|店:1	train=2
咬上	2	1	咬|上	咬|上:1 咬上:1	train=2
咱们家	2	1	咱们|家	咱们|家:1 咱们家:1	train=2
唔好	2	1	唔|好	唔|好:1 唔好:1	train=2
啄著	2	1	啄著	啄著:1 啄|著:1	train=2
啜奶嘴	2	1	啜奶嘴	啜奶嘴:1 啜|奶嘴:1	train=2
四万	2	1	四|万	四|万:1 四万:1	train=2
回房	2	1	回房	回房:1 回|房:1	train=2
回生医院	2	1	回|生医院	回|生医院:1 回生医院:1	train=2
团结起来	2	1	团结|起来	团结|起来:1 团结起来:1	train=2
国手	2	1	国|手	国|手:1 国手:1	train=2
图穷	2	1	图穷	图穷:1 图|穷:1	train=2
土邦主	2	1	土邦主	土邦主:1 土邦|主:1	train=2
在生	2	1	在|生	在|生:1 在生:1	train=2
坟前	2	1	坟前	坟前:1 坟|前:1	train=2
坠海	2	1	坠|海	坠|海:1 坠海:1	train=2
埋掉	2	1	埋掉	埋掉:1 埋|掉:1	train=2
声名显赫	2	1	声名|显赫	声名|显赫:1 声名显赫:1	train=2
多晚	2	1	多晚	多晚:1 多|晚:1	train=2
多笪𤶸	2	1	多|笪𤶸	多|笪𤶸:1 多笪𤶸:1	train=2
够劲	2	1	够|劲	够|劲:1 够劲:1	train=2
大不韪	2	1	大|不韪	大|不韪:1 大不韪:1	train=2
大些	2	1	大|些	大|些:1 大些:1	train=2
大受打击	2	1	大受|打击	大受|打击:1 大受打击:1	train=2
大套	2	1	大套	大套:1 大|套:1	train=2
大孩子	2	1	大孩子	大孩子:1 大|孩子:1	train=2
大尾巴狼	2	1	大尾巴|狼	大尾巴|狼:1 大尾巴狼:1	train=2
大日本帝国	2	1	大日本|帝国	大日本|帝国:1 大日本帝国:1	train=1,val=1
大病	2	1	大病	大病:1 大|病:1	train=2
大美女	2	1	大美女	大美女:1 大|美女:1	train=2
大船	2	1	大船	大船:1 大|船:1	train=2
失踪人口	2	1	失踪|人口	失踪|人口:1 失踪人口:1	train=2
女星	2	1	女|星	女|星:1 女星:1	train=2
女魔术师	2	1	女|魔术师	女|魔术师:1 女魔术师:1	train=2
奶奶家	2	1	奶奶家	奶奶家:1 奶奶|家:1	train=2
好不到	2	1	好不到	好不到:1 好|不到:1	train=2
好兄弟	2	1	好兄弟	好兄弟:1 好|兄弟:1	train=2
好多年	2	1	好多年	好多年:1 好多|年:1	train=2
好大胆子	2	1	好|大胆子	好|大胆子:1 好大胆子:1	train=2
好女孩	2	1	好|女孩	好|女孩:1 好女孩:1	train=2
好极	2	1	好极	好极:1 好|极:1	train=2
好梦	2	1	好梦	好梦:1 好|梦:1	train=2
好高	2	1	好|高	好|高:1 好高:1	train=2
如来神掌	2	1	如来神掌	如来神掌:1 如来|神掌:1	train=2
威震天	2	1	威震|天	威震|天:1 威震天:1	train=2
娘养的	2	1	娘|养|的	娘|养|的:1 娘养的:1	train=2
嫖賭	2	1	嫖賭	嫖賭:1 嫖|賭:1	train=2
安定下来	2	1	安定|下来	安定|下来:1 安定下来:1	train=2
宫里	2	1	宫里	宫里:1 宫|里:1	train=2
家店	2	1	家店	家店:1 家|店:1	train=2
家庭责任	2	1	家庭责任	家庭责任:1 家庭|责任:1	train=2
家门口	2	1	家|门口	家|门口:1 家门口:1	train=2
对簿公堂	2	1	对簿|公堂	对簿|公堂:1 对簿公堂:1	train=2
小地方	2	1	小地方	小地方:1 小|地方:1	train=2
小堂嫂	2	1	小堂嫂	小堂嫂:1 小|堂嫂:1	train=2
小天使	2	1	小|天使	小|天使:1 小天使:1	train=2
小流氓	2	1	小|流氓	小|流氓:1 小流氓:1	train=2
小游戏	2	1	小游戏	小游戏:1 小|游戏:1	train=2
小矮子	2	1	小矮子	小矮子:1 小|矮子:1	train=2
小老虎	2	1	小老虎	小老虎:1 小|老虎:1	train=2
小问	2	1	小|问	小|问:1 小问:1	train=2
小阿姨	2	1	小阿姨	小阿姨:1 小|阿姨:1	train=2
小鸡鸡	2	1	小鸡鸡	小鸡鸡:1 小|鸡鸡:1	train=2
就凭	2	1	就凭	就凭:1 就|凭:1	train=2
屁答答	2	1	屁答答	屁答答:1 屁|答答:1	train=2
巡回演出	2	1	巡回演出	巡回演出:1 巡回|演出:1	train=2
巴辛吉狗	2	1	巴辛吉|狗	巴辛吉|狗:1 巴辛吉狗:1	train=2
巴黎圣母院	2	1	巴黎|圣母院	巴黎|圣母院:1 巴黎圣母院:1	train=2
布隆先生	2	1	布隆先生	布隆先生:1 布隆|先生:1	train=2
布鲁克林队	2	1	布鲁克林|队	布鲁克林|队:1 布鲁克林队:1	train=2
希优顿王	2	1	希优顿|王	希优顿|王:1 希优顿王:1	train=2
帮办	2	1	帮办	帮办:1 帮|办:1	train=2
干出	2	1	干|出	干|出:1 干出:1	train=2
干藏红花粉	2	1	干|藏红花粉	干|藏红花粉:1 干藏红花粉:1	test=1,train=1
干起	2	1	干起	干起:1 干|起:1	train=2
平方公尺	2	1	平方公尺	平方公尺:1 平方|公尺:1	train=2
并未	2	1	并未	并未:1 并|未:1	train=2
床底下	2	1	床|底下	床|底下:1 床底下:1	train=2
康拉蒂女士	2	1	康拉蒂|女士	康拉蒂|女士:1 康拉蒂女士:1	train=2
弄断	2	1	弄|断	弄|断:1 弄断:1	train=2
弄破	2	1	弄破	弄破:1 弄|破:1	train=2
弹珠游戏	2	1	弹珠|游戏	弹珠|游戏:1 弹珠游戏:1	train=2
得病	2	1	得病	得病:1 得|病:1	train=2
御石钵	2	1	御石钵	御石钵:1 御石|钵:1	train=2
必要的	2	1	必要|的	必要|的:1 必要的:1	train=2
想不起	2	1	想|不起	想|不起:1 想不起:1	train=2
想想看	2	1	想想|看	想想|看:1 想想看:1	train=2
惹人惊叹	2	1	惹人惊叹	惹人惊叹:1 惹人|惊叹:1	train=2
成夏	2	1	成|夏	成|夏:1 成夏:1	train=2
或多或少	2	1	或|多|或|少	或|多|或|少:1 或多或少:1	train=2
所愿	2	1	所|愿	所|愿:1 所愿:1	train=2
手抖	2	1	手抖	手抖:1 手|抖:1	train=2
手拿	2	1	手|拿	手|拿:1 手拿:1	train=2
手表的	2	1	手表的	手表的:1 手表|的:1	train=2
打回来	2	1	打|回来	打|回来:1 打回来:1	train=2
打脸	2	1	打脸	打脸:1 打|脸:1	train=2
打趴	2	1	打|趴	打|趴:1 打趴:1	train=2
托杨叔叔	2	1	托杨叔叔	托杨叔叔:1 托|杨叔叔:1	test=1,train=1
扫过	2	1	扫|过	扫|过:1 扫过:1	train=2
找事	2	1	找事	找事:1 找|事:1	train=2
找错	2	1	找|错	找|错:1 找错:1	train=2
抄完	2	1	抄完	抄完:1 抄|完:1	train=2
抓稳	2	1	抓稳	抓稳:1 抓|稳:1	train=2
折起来	2	1	折|起来	折|起来:1 折起来:1	train=2
抹油	2	1	抹|油	抹|油:1 抹油:1	train=2
拍片	2	1	拍|片	拍|片:1 拍片:1	train=2
拔刀	2	1	拔刀	拔刀:1 拔|刀:1	train=2
挖煤	2	1	挖|煤	挖|煤:1 挖煤:1	test=1,train=1
挤出	2	1	挤|出	挤|出:1 挤出:1	train=2
据搂	2	1	据|搂	据|搂:1 据搂:1	train=2
掉下	2	1	掉下	掉下:1 掉|下:1	train=2
排好	2	1	排|好	排|好:1 排好:1	train=2
推下来	2	1	推|下来	推|下来:1 推下来:1	train=2
推到	2	1	推|到	推|到:1 推到:1	train=2
搏击俱乐部	2	1	搏击|俱乐部	搏击|俱乐部:1 搏击俱乐部:1	train=1,val=1
搬起	2	1	搬起	搬起:1 搬|起:1	train=2
搭错	2	1	搭|错	搭|错:1 搭错:1	train=2
摸象	2	1	摸|象	摸|象:1 摸象:1	train=2
撑过	2	1	撑|过	撑|过:1 撑过:1	train=2
擔遮	2	1	擔遮	擔遮:1 擔|遮:1	train=2
支持住	2	1	支持|住	支持|住:1 支持住:1	train=2
放鸽子	2	1	放|鸽子	放|鸽子:1 放鸽子:1	train=2
教坏	2	1	教|坏	教|坏:1 教坏:1	train=2
数学考试	2	1	数学|考试	数学|考试:1 数学考试:1	train=2
整年	2	1	整|年	整|年:1 整年:1	train=2
新干线	2	1	新|干线	新|干线:1 新干线:1	train=2
无所求	2	1	无所|求	无所|求:1 无所求:1	train=2
无法度	2	1	无法度	无法度:1 无法|度:1	train=2
无脸男	2	1	无|脸男	无|脸男:1 无脸男:1	train=2
无觅处	2	1	无觅处	无觅处:1 无|觅|处:1	train=2
无话	2	1	无|话	无|话:1 无话:1	train=2
无辜者	2	1	无辜者	无辜者:1 无辜|者:1	train=2
旧金山	2	1	旧|金山	旧|金山:1 旧金山:1	train=2
